Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,59.610001000000004,59.630001,58.73,58.73,48.362244,811700
2010-01-04,59.220001,59.650002,58.939999,59.34,48.864559,822900
2010-01-05,59.18,59.490002000000004,57.389998999999996,58.110001000000004,47.851704,2352700
2010-01-06,57.82,57.990002000000004,57.200001,57.34,47.217632,1685500
2010-01-07,57.080002,57.139998999999996,56.18,56.790001000000004,46.764725,1939600
2010-01-08,56.700001,57.619999,56.599998,57.549999,47.390549,1332500
2010-01-11,57.5,57.91,57.220001,57.720001,47.530556,1227300
2010-01-12,57.470001,57.639998999999996,56.790001000000004,56.990002000000004,46.92942,1425700
2010-01-13,57.0,57.470001,56.34,57.32,47.201157,1513300
2010-01-14,57.02,57.880001,57.02,57.619999,47.448204,818100
2010-01-15,57.509997999999996,58.110001000000004,57.23,57.720001,47.530556,1592400
2010-01-19,57.700001,58.470001,57.639998999999996,58.130001,47.868164,1061200
2010-01-20,57.529999,57.849998,56.889998999999996,57.779999,47.57996,1157700
2010-01-21,57.689999,58.369999,56.98,57.630001,47.456429,1659200
2010-01-22,57.709998999999996,58.150002,57.240002000000004,57.349998,47.225857,1558100
2010-01-25,57.490002000000004,57.849998,56.790001000000004,57.459998999999996,47.316437,1167300
2010-01-26,57.189999,57.59,56.939999,57.099998,47.020004,1347100
2010-01-27,56.830002,57.599998,56.619999,57.459998999999996,47.316437,881300
2010-01-28,57.639998999999996,57.639998999999996,56.200001,56.540001000000004,46.558857,1173200
2010-01-29,56.68,57.279999,56.630001,56.630001,46.632961,1527800
2010-02-01,56.84,57.650002,56.689999,57.400002,47.267036,981500
2010-02-02,57.240002000000004,57.540001000000004,56.68,57.419998,47.283501,1470300
2010-02-03,52.84,54.380001,51.5,53.540001000000004,44.088451,8727300
2010-02-04,53.310001,53.950001,52.669998,53.25,43.849655,3974300
2010-02-05,53.16,54.080002,51.16,52.439999,43.182635999999995,2833000
2010-02-08,52.650002,52.970001,52.009997999999996,52.080002,42.886196000000005,2046300
2010-02-09,52.639998999999996,53.68,52.110001000000004,52.669998,43.372032,2709800
2010-02-10,52.0,52.509997999999996,51.310001,51.84,42.688564,1904200
2010-02-11,51.630001,53.299999,51.459998999999996,53.099998,43.72612,2533300
2010-02-12,52.470001,52.700001,51.68,52.119999,42.919128,2414800
2010-02-16,52.389998999999996,53.290001000000004,52.389998999999996,52.75,43.437915999999994,1511000
2010-02-17,53.049999,53.43,52.57,53.0,43.643772,1345300
2010-02-18,53.049999,53.080002,52.77,52.900002,43.561432,1032000
2010-02-19,52.779999,53.970001,52.779999,53.5,44.055510999999996,1768100
2010-02-22,53.77,54.310001,53.310001,54.16,44.598991,1625500
2010-02-23,54.240002000000004,54.5,53.139998999999996,53.560001,44.104923,2650100
2010-02-24,54.0,54.240002000000004,53.310001,53.68,44.203739,1822500
2010-02-25,53.0,53.540001000000004,52.5,53.490002000000004,44.047278999999996,1612200
2010-02-26,53.490002000000004,53.560001,52.700001,53.330002,43.915535,1701400
2010-03-01,53.290001000000004,63.650002,53.02,53.560001,44.104923,2163600
2010-03-02,53.5,53.740002000000004,53.169998,53.209998999999996,43.816715,1597700
2010-03-03,52.82,53.080002,52.380001,52.470001,43.411301,2205500
